,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Upernavik,72.79,-56.15,272.16,98,100,5.73,GL,1589607105
1,Mahébourg,-20.41,57.7,295.15,83,20,1.5,MU,1589607105
2,Saint Paul Harbor,57.79,-152.41,281.15,87,90,6.7,US,1589607105
3,Saint-Augustin,51.23,-58.65,273.84,93,27,3.7,CA,1589607106
4,Dustlik,40.52,68.04,295.36,48,100,0.67,UZ,1589607106
5,Ushuaia,-54.8,-68.3,278.15,80,75,2.1,AR,1589606842
6,Greenville,35.61,-77.37,291.48,88,1,3.6,US,1589607107
7,Bengkulu,-3.8,102.27,303.78,66,35,4.15,ID,1589607107
8,Colac,-38.33,143.58,288.15,64,0,0.45,AU,1589607107
9,Kirakira,-10.45,161.92,301.37,81,36,4.39,SB,1589607107
10,Raja,8.46,25.68,300.42,58,0,3.34,SS,1589607107
11,Lebu,-37.62,-73.65,286.66,91,63,2.98,CL,1589607108
12,Ullapool,57.9,-5.16,281.48,86,78,2.24,GB,1589607108
13,Cabo San Lucas,22.89,-109.91,295.93,44,1,6.15,MX,1589607108
14,Kasongo,-4.45,26.67,295.34,94,99,1.18,CD,1589607109
15,Yenagoa,4.92,6.26,298.21,89,62,0.07,NG,1589607109
16,Rikitea,-23.12,-134.97,296.87,85,73,9.16,PF,1589607109
17,Pevek,69.7,170.31,273.51,93,0,1.63,RU,1589607109
18,Cape Town,-33.93,18.42,281.15,93,40,1.5,ZA,1589606521
19,Chokurdakh,70.63,147.92,273.8,93,0,5.62,RU,1589607110
20,Nanortalik,60.14,-45.24,276.32,91,100,3.35,GL,1589607110
21,Kavieng,-2.57,150.8,302.83,78,45,5.95,PG,1589607110
22,Aklavik,68.22,-135.01,269.15,85,90,3.6,CA,1589607110
23,Arica,-18.48,-70.3,290.04,83,81,0.23,CL,1589607111
24,Ambatofinandrahana,-20.55,46.8,289.63,76,12,0.98,MG,1589607111
25,Kenai,60.55,-151.26,284.15,75,1,6.7,US,1589607057
26,Tiksi,71.69,128.87,272.94,98,97,5.66,RU,1589607111
27,Butaritari,3.07,172.79,301.72,77,86,4.42,KI,1589607112
28,Voh,-20.97,164.7,296.25,78,72,3.37,NC,1589607112
29,Banda Aceh,5.56,95.32,303.74,70,66,2.11,ID,1589607112
30,Lompoc,34.64,-120.46,286.15,82,1,3.6,US,1589607113
31,Albany,42.6,-73.97,290.37,75,100,0.89,US,1589606940
32,Busselton,-33.65,115.33,292.59,35,21,3.41,AU,1589607113
33,Port-Gentil,-0.72,8.78,300.15,94,75,1.5,GA,1589607113
34,Kapaa,22.08,-159.32,297.15,83,40,4.6,US,1589607114
35,Richards Bay,-28.78,32.04,292.86,64,39,6.42,ZA,1589607114
36,San Jose,37.34,-121.89,289.26,51,40,2.6,US,1589606855
37,Mataura,-46.19,168.86,279.91,91,5,0.24,NZ,1589607114
38,Chumikan,54.72,135.31,277.83,84,91,2.35,RU,1589606892
39,Batagay-Alyta,67.8,130.41,276.36,81,100,1.81,RU,1589607115
40,Talnakh,69.49,88.4,279.15,56,72,11,RU,1589607115
41,George Town,5.41,100.34,304.15,74,40,3.1,MY,1589607115
42,Kaeo,-35.1,173.78,289.26,3,69,1.34,NZ,1589607115
43,Sitka,57.05,-135.33,284.15,76,40,0.65,US,1589607115
44,Safford,32.83,-109.71,296.15,18,1,5.1,US,1589607116
45,Fortuna,40.6,-124.16,285.93,81,1,1.55,US,1589607116
46,Atuona,-9.8,-139.03,300.39,73,0,5.75,PF,1589606866
47,Kasulu,-4.58,30.1,294.15,94,20,1.33,TZ,1589607116
48,Iracoubo,5.48,-53.2,297.4,91,100,2.8,GF,1589607117
49,Birjand,32.87,59.22,294.15,21,0,2.82,IR,1589607117
